month,district,sentiment_score,review_count,sentiment_score_normalized
2016-10,Galle,0.9166666666666666,12,95.83333333333333
2016-10,Jaffna,0.6666666666666666,3,83.33333333333333
2016-10,Kalutara,0.5833333333333334,12,79.16666666666667
2016-10,Kandy,0.6666666666666666,9,83.33333333333333
2016-10,Matale,0.46153846153846156,13,73.07692307692308
2016-10,Nuwara Eliya,0.6785714285714286,28,83.92857142857143
2016-10,Other,0.7692307692307693,13,88.46153846153845
2016-10,Trincomalee,1.0,13,100.0
2016-11,Ampara,0.6666666666666666,3,83.33333333333333
2016-11,Anuradhapura,0.8529411764705882,34,92.64705882352942
2016-11,Badulla,0.8571428571428571,7,92.85714285714286
2016-11,Colombo,1.0,7,100.0
2016-11,Galle,1.0,10,100.0
2016-11,Jaffna,0.75,8,87.5
2016-11,Kalutara,-0.2222222222222222,9,38.88888888888889
2016-11,Kandy,1.0,9,100.0
2016-11,Matale,0.5,6,75.0
2016-11,Nuwara Eliya,0.8421052631578947,19,92.10526315789474
2016-11,Other,0.6470588235294118,17,82.35294117647058
2016-11,Trincomalee,1.0,7,100.0
2016-12,Ampara,1.0,2,100.0
2016-12,Anuradhapura,0.6808510638297872,47,84.04255319148936
2016-12,Badulla,0.7727272727272727,22,88.63636363636364
2016-12,Colombo,0.75,16,87.5
2016-12,Galle,0.9130434782608695,23,95.65217391304348
2016-12,Jaffna,0.8125,16,90.625
2016-12,Kalutara,0.6153846153846154,13,80.76923076923077
2016-12,Kandy,0.76,25,88.0
2016-12,Matale,0.6666666666666666,9,83.33333333333333
2016-12,Nuwara Eliya,0.6379310344827587,58,81.89655172413794
2016-12,Other,0.7692307692307693,26,88.46153846153845
2016-12,Trincomalee,0.875,16,93.75
2017-01,Ampara,0.3333333333333333,3,66.66666666666666
2017-01,Anuradhapura,0.8571428571428571,56,92.85714285714286
2017-01,Badulla,0.8888888888888888,36,94.44444444444444
2017-01,Colombo,0.4,5,70.0
2017-01,Galle,0.8095238095238095,21,90.47619047619048
2017-01,Jaffna,0.7647058823529411,17,88.23529411764706
2017-01,Kalutara,0.5454545454545454,11,77.27272727272727
2017-01,Kandy,0.8387096774193549,31,91.93548387096774
2017-01,Matale,0.375,8,68.75
2017-01,Nuwara Eliya,0.8775510204081632,49,93.87755102040816
2017-01,Other,0.8,25,90.0
2017-01,Trincomalee,0.75,20,87.5
2017-02,Ampara,0.3333333333333333,3,66.66666666666666
2017-02,Anuradhapura,0.7922077922077922,77,89.6103896103896
2017-02,Badulla,0.9583333333333334,24,97.91666666666667
2017-02,Colombo,1.0,7,100.0
2017-02,Galle,1.0,17,100.0
2017-02,Jaffna,0.7692307692307693,13,88.46153846153845
2017-02,Kalutara,0.5384615384615384,13,76.92307692307692
2017-02,Kandy,0.7857142857142857,14,89.28571428571428
2017-02,Matale,0.5,8,75.0
2017-02,Nuwara Eliya,0.6206896551724138,58,81.03448275862068
2017-02,Other,0.8421052631578947,19,92.10526315789474
2017-02,Trincomalee,0.6842105263157895,19,84.21052631578947
2017-03,Anuradhapura,0.8787878787878788,33,93.93939393939394
2017-03,Badulla,0.9130434782608695,23,95.65217391304348
2017-03,Colombo,0.5,8,75.0
2017-03,Galle,1.0,12,100.0
2017-03,Jaffna,0.0,4,50.0
2017-03,Kalutara,0.8333333333333334,12,91.66666666666667
2017-03,Kandy,0.5625,16,78.125
2017-03,Matale,0.6666666666666666,9,83.33333333333333
2017-03,Nuwara Eliya,0.835820895522388,67,91.7910447761194
2017-03,Other,0.8076923076923077,26,90.38461538461539
2017-03,Trincomalee,1.0,10,100.0
2017-04,Ampara,1.0,3,100.0
2017-04,Anuradhapura,0.8064516129032258,31,90.32258064516128
2017-04,Badulla,0.8888888888888888,27,94.44444444444444
2017-04,Colombo,0.6666666666666666,6,83.33333333333333
2017-04,Galle,1.0,20,100.0
2017-04,Jaffna,1.0,8,100.0
2017-04,Kalutara,0.5454545454545454,11,77.27272727272727
2017-04,Kandy,0.6428571428571429,14,82.14285714285714
2017-04,Matale,0.7777777777777778,9,88.88888888888889
2017-04,Nuwara Eliya,0.7692307692307693,52,88.46153846153845
2017-04,Other,0.6296296296296297,27,81.4814814814815
2017-04,Trincomalee,0.75,20,87.5
2017-05,Ampara,0.6666666666666666,3,83.33333333333333
2017-05,Anuradhapura,0.5,18,75.0
2017-05,Badulla,0.9411764705882353,17,97.05882352941177
2017-05,Colombo,1.0,6,100.0
2017-05,Galle,1.0,5,100.0
2017-05,Jaffna,0.5,4,75.0
2017-05,Kalutara,0.6666666666666666,6,83.33333333333333
2017-05,Kandy,0.6428571428571429,14,82.14285714285714
2017-05,Matale,0.5,8,75.0
2017-05,Nuwara Eliya,0.8214285714285714,28,91.07142857142857
2017-05,Other,0.6666666666666666,6,83.33333333333333
2017-05,Polonnaruwa,1.0,1,100.0
2017-05,Trincomalee,0.9545454545454546,22,97.72727272727273
2017-06,Ampara,0.8571428571428571,7,92.85714285714286
2017-06,Anuradhapura,1.0,10,100.0
2017-06,Badulla,0.9,10,95.0
2017-06,Colombo,-0.4,5,30.0
2017-06,Galle,1.0,5,100.0
2017-06,Jaffna,0.8888888888888888,9,94.44444444444444
2017-06,Kalutara,0.6666666666666666,3,83.33333333333333
2017-06,Kandy,1.0,7,100.0
2017-06,Matale,0.7142857142857143,14,85.71428571428572
2017-06,Nuwara Eliya,0.5806451612903226,31,79.03225806451613
2017-06,Other,0.9090909090909091,11,95.45454545454545
2017-06,Polonnaruwa,1.0,1,100.0
2017-06,Trincomalee,0.5454545454545454,22,77.27272727272727
2017-07,Ampara,0.6666666666666666,6,83.33333333333333
2017-07,Anuradhapura,0.7222222222222222,18,86.11111111111111
2017-07,Badulla,0.9,20,95.0
2017-07,Colombo,0.5909090909090909,22,79.54545454545455
2017-07,Galle,1.0,8,100.0
2017-07,Jaffna,0.75,8,87.5
2017-07,Kalutara,-0.3333333333333333,3,33.333333333333336
2017-07,Kandy,0.5833333333333334,12,79.16666666666667
2017-07,Matale,0.375,8,68.75
2017-07,Nuwara Eliya,0.8,20,90.0
2017-07,Other,0.6666666666666666,12,83.33333333333333
2017-07,Polonnaruwa,1.0,1,100.0
2017-07,Trincomalee,0.6428571428571429,28,82.14285714285714
2017-08,Ampara,0.6666666666666666,12,83.33333333333333
2017-08,Anuradhapura,0.7,40,85.0
2017-08,Badulla,0.75,24,87.5
2017-08,Colombo,0.8571428571428571,21,92.85714285714286
2017-08,Galle,0.9,10,95.0
2017-08,Gampaha,1.0,1,100.0
2017-08,Jaffna,1.0,12,100.0
2017-08,Kalutara,0.0,8,50.0
2017-08,Kandy,0.8571428571428571,7,92.85714285714286
2017-08,Matale,0.6666666666666666,12,83.33333333333333
2017-08,Nuwara Eliya,0.8,40,90.0
2017-08,Other,0.6842105263157895,19,84.21052631578947
2017-08,Polonnaruwa,0.5,2,75.0
2017-08,Trincomalee,0.65,40,82.5
2017-09,Ampara,1.0,3,100.0
2017-09,Anuradhapura,0.8695652173913043,23,93.4782608695652
2017-09,Badulla,0.8571428571428571,21,92.85714285714286
2017-09,Colombo,0.7391304347826086,23,86.95652173913044
2017-09,Galle,0.9166666666666666,12,95.83333333333333
2017-09,Jaffna,1.0,6,100.0
2017-09,Kalutara,0.7777777777777778,9,88.88888888888889
2017-09,Kandy,0.8888888888888888,9,94.44444444444444
2017-09,Matale,0.5454545454545454,11,77.27272727272727
2017-09,Nuwara Eliya,0.675,40,83.75
2017-09,Other,1.0,13,100.0
