month,sentiment_score,positive_count,review_count,negative_count,neutral_count,sentiment_score_normalized,ampara_sentiment,anuradhapura_sentiment,badulla_sentiment,colombo_sentiment,galle_sentiment,gampaha_sentiment,jaffna_sentiment,kalutara_sentiment,kandy_sentiment,matale_sentiment,nuwara_eliya_sentiment,other_sentiment,polonnaruwa_sentiment,trincomalee_sentiment,ampara_reviews,anuradhapura_reviews,badulla_reviews,colombo_reviews,galle_reviews,gampaha_reviews,jaffna_reviews,kalutara_reviews,kandy_reviews,matale_reviews,nuwara_eliya_reviews,other_reviews,polonnaruwa_reviews,trincomalee_reviews
2017-01,0.8062283737024222,245,289,12,32,90.31141868512111,0.3333333333333333,0.8571428571428571,0.8888888888888888,0.4,0.8095238095238095,0.8062283737024222,0.7647058823529411,0.5454545454545454,0.8387096774193549,0.375,0.8775510204081632,0.8,0.8062283737024222,0.75,3.0,56.0,36.0,5.0,21.0,,17.0,11.0,31.0,8.0,49.0,25.0,,20.0
2017-02,0.76,221,275,12,42,88.0,0.3333333333333333,0.7922077922077922,0.9583333333333334,1.0,1.0,0.76,0.7692307692307693,0.5384615384615384,0.7857142857142857,0.5,0.6206896551724138,0.8421052631578947,0.76,0.6842105263157895,3.0,77.0,24.0,7.0,17.0,,13.0,13.0,14.0,8.0,58.0,19.0,,19.0
2017-03,0.8116591928251121,193,223,12,18,90.5829596412556,0.8116591928251121,0.8787878787878788,0.9130434782608695,0.5,1.0,0.8116591928251121,0.0,0.8333333333333334,0.5625,0.6666666666666666,0.835820895522388,0.8076923076923077,0.8116591928251121,1.0,,33.0,23.0,8.0,12.0,,4.0,12.0,16.0,9.0,67.0,26.0,,10.0
2017-04,0.7807017543859649,190,228,12,26,89.03508771929825,1.0,0.8064516129032258,0.8888888888888888,0.6666666666666666,1.0,0.7807017543859649,1.0,0.5454545454545454,0.6428571428571429,0.7777777777777778,0.7692307692307693,0.6296296296296297,0.7807017543859649,0.75,3.0,31.0,27.0,6.0,20.0,,8.0,11.0,14.0,9.0,52.0,27.0,,20.0
2017-05,0.7714285714285715,111,140,3,26,88.57142857142857,0.6666666666666666,0.5,0.9411764705882353,1.0,1.0,0.7714285714285715,0.5,0.6666666666666666,0.6428571428571429,0.5,0.8214285714285714,0.6666666666666666,1.0,0.9545454545454546,3.0,18.0,17.0,6.0,5.0,,4.0,6.0,14.0,8.0,28.0,6.0,1.0,22.0
2017-06,0.6985294117647058,106,136,11,19,84.92647058823529,0.8571428571428571,1.0,0.9,-0.4,1.0,0.6985294117647058,0.8888888888888888,0.6666666666666666,1.0,0.7142857142857143,0.5806451612903226,0.9090909090909091,1.0,0.5454545454545454,7.0,10.0,10.0,5.0,5.0,,9.0,3.0,7.0,14.0,31.0,11.0,1.0,22.0
2017-07,0.6923076923076923,131,169,14,24,84.61538461538461,0.6666666666666666,0.7222222222222222,0.9,0.5909090909090909,1.0,0.6923076923076923,0.75,-0.3333333333333333,0.5833333333333334,0.375,0.8,0.6666666666666666,1.0,0.6428571428571429,6.0,18.0,20.0,22.0,8.0,,8.0,3.0,12.0,8.0,20.0,12.0,1.0,28.0
2017-08,0.7269076305220884,197,249,16,36,86.34538152610443,0.6666666666666666,0.7,0.75,0.8571428571428571,0.9,1.0,1.0,0.0,0.8571428571428571,0.6666666666666666,0.8,0.6842105263157895,0.5,0.65,12.0,40.0,24.0,21.0,10.0,1.0,12.0,8.0,7.0,12.0,40.0,19.0,2.0,40.0
2017-09,0.788659793814433,161,194,8,25,89.43298969072164,1.0,0.8695652173913043,0.8571428571428571,0.7391304347826086,0.9166666666666666,0.788659793814433,1.0,0.7777777777777778,0.8888888888888888,0.5454545454545454,0.675,1.0,0.5,0.7142857142857143,3.0,23.0,21.0,23.0,12.0,,6.0,9.0,9.0,11.0,40.0,13.0,2.0,21.0
2017-10,0.7379310344827587,115,145,8,22,86.89655172413792,0.7379310344827587,0.9333333333333333,0.875,0.8064516129032258,0.9230769230769231,-1.0,0.8,0.3333333333333333,0.4,0.5,0.6363636363636364,0.8333333333333334,1.0,1.0,,15.0,8.0,31.0,13.0,1.0,5.0,9.0,10.0,6.0,22.0,12.0,4.0,5.0
2017-11,0.7253521126760564,112,142,9,21,86.26760563380283,0.7253521126760564,0.7894736842105263,0.7142857142857143,0.75,1.0,-1.0,-0.3333333333333333,0.7142857142857143,0.5714285714285714,0.3333333333333333,0.8214285714285714,0.8235294117647058,0.75,0.625,,19.0,14.0,16.0,11.0,1.0,3.0,7.0,7.0,6.0,28.0,17.0,4.0,8.0
2017-12,0.6612244897959184,178,245,16,51,83.06122448979592,1.0,0.6206896551724138,0.6190476190476191,0.55,0.9565217391304348,1.0,0.7272727272727273,0.8333333333333334,0.6666666666666666,1.0,0.5238095238095238,0.6551724137931034,1.0,0.7142857142857143,1.0,29.0,21.0,20.0,23.0,1.0,11.0,6.0,12.0,8.0,63.0,29.0,3.0,14.0
2018-01,0.7492877492877493,285,351,22,44,87.46438746438747,0.0,0.92,0.7333333333333333,0.7435897435897436,0.9142857142857143,0.0,0.7777777777777778,0.9166666666666666,0.6,0.6,0.5540540540540541,0.7647058823529411,0.9285714285714286,0.9166666666666666,2.0,50.0,30.0,39.0,35.0,1.0,9.0,12.0,25.0,10.0,74.0,34.0,14.0,12.0
2018-02,0.7707736389684814,287,349,18,44,88.53868194842407,1.0,0.8653846153846154,0.6,0.8181818181818182,0.96,0.7707736389684814,0.875,0.6666666666666666,0.6086956521739131,0.8461538461538461,0.543859649122807,0.8461538461538461,0.9230769230769231,0.6666666666666666,3.0,52.0,30.0,33.0,25.0,,16.0,9.0,23.0,13.0,57.0,39.0,39.0,9.0
2018-03,0.7094594594594594,231,296,21,44,85.47297297297297,1.0,0.9,0.6206896551724138,0.7,0.9047619047619048,0.5,0.5555555555555556,0.5,0.8666666666666667,0.4,0.4528301886792453,0.8717948717948718,0.8478260869565217,0.5,2.0,30.0,29.0,20.0,21.0,2.0,9.0,10.0,15.0,10.0,53.0,39.0,46.0,10.0
2018-04,0.7157190635451505,238,299,24,37,85.78595317725753,1.0,0.8181818181818182,0.8518518518518519,0.6842105263157895,0.6666666666666666,1.0,1.0,0.6,1.0,0.25,0.5166666666666667,0.8571428571428571,0.8043478260869565,0.8571428571428571,2.0,22.0,27.0,38.0,36.0,1.0,7.0,10.0,5.0,8.0,60.0,21.0,46.0,14.0
2018-05,0.7788461538461539,173,208,11,24,88.9423076923077,1.0,0.8846153846153846,0.46153846153846156,0.5652173913043478,0.7142857142857143,-1.0,1.0,1.0,0.9230769230769231,0.75,0.6829268292682927,0.8636363636363636,0.9090909090909091,1.0,2.0,26.0,13.0,23.0,14.0,1.0,5.0,2.0,13.0,4.0,41.0,22.0,22.0,20.0
2018-06,0.7351351351351352,152,185,16,17,86.75675675675676,1.0,0.6666666666666666,0.5454545454545454,0.8461538461538461,0.7857142857142857,-0.3333333333333333,0.75,0.42857142857142855,0.6923076923076923,1.0,0.8421052631578947,0.7272727272727273,0.8214285714285714,0.625,7.0,9.0,11.0,13.0,14.0,3.0,4.0,7.0,13.0,8.0,19.0,33.0,28.0,16.0
2018-07,0.6938775510204082,272,343,34,37,84.6938775510204,0.46153846153846156,0.7931034482758621,0.9130434782608695,1.0,0.7894736842105263,-0.3333333333333333,0.8333333333333334,0.0,0.6071428571428571,0.5,0.7567567567567568,0.6666666666666666,0.8421052631578947,0.5277777777777778,13.0,29.0,23.0,21.0,19.0,12.0,6.0,2.0,28.0,10.0,37.0,48.0,57.0,36.0
2018-08,0.601010101010101,286,396,48,62,80.05050505050505,1.0,0.8,0.8333333333333334,0.7307692307692307,0.4318181818181818,-0.2,0.8333333333333334,0.5714285714285714,0.5172413793103449,0.8461538461538461,0.5555555555555556,0.6557377049180327,0.8166666666666667,0.3333333333333333,4.0,15.0,24.0,26.0,44.0,20.0,12.0,7.0,29.0,13.0,45.0,61.0,60.0,33.0
2018-09,0.6786786786786787,261,333,35,37,83.93393393393393,0.0,1.0,0.3333333333333333,0.6,0.625,-0.25,1.0,0.6875,0.7441860465116279,0.7142857142857143,0.7777777777777778,0.5789473684210527,0.8571428571428571,0.55,2.0,12.0,21.0,20.0,24.0,8.0,7.0,16.0,43.0,14.0,45.0,38.0,63.0,20.0
2018-10,0.7231270358306189,245,307,23,39,86.15635179153094,0.5,0.95,0.6363636363636364,0.6666666666666666,0.6578947368421053,0.1,0.8181818181818182,0.8709677419354839,0.7741935483870968,0.75,0.6842105263157895,0.5555555555555556,0.8809523809523809,0.8571428571428571,2.0,20.0,22.0,15.0,38.0,10.0,11.0,31.0,31.0,4.0,38.0,36.0,42.0,7.0
